,,U.S. Census Bureau
,,Source: Business Formation Statistics
,,Total for All NAICS: U.S. Total
,,Seasonally Adjusted Business Applications [Units]
,,Period: 2016 to 2025
,,"Data Extracted on: April 12, 2025 (6:49 pm)"
,,
Period,Value,
Jan-2016,"258,819",
Feb-2016,"240,991",
Mar-2016,"236,403",
Apr-2016,"243,949",
May-2016,"255,126",
Jun-2016,"216,685",
Jul-2016,"261,522",
Aug-2016,"248,127",
Sep-2016,"254,889",
Oct-2016,"245,430",
Nov-2016,"253,205",
Dec-2016,"261,125",
Jan-2017,"262,233",
Feb-2017,"259,762",
Mar-2017,"261,882",
Apr-2017,"261,384",
May-2017,"261,688",
Jun-2017,"267,687",
Jul-2017,"267,755",
Aug-2017,"269,557",
Sep-2017,"260,363",
Oct-2017,"272,887",
Nov-2017,"282,409",
Dec-2017,"269,327",
Jan-2018,"295,584",
Feb-2018,"285,084",
Mar-2018,"289,372",
Apr-2018,"285,535",
May-2018,"293,321",
Jun-2018,"296,691",
Jul-2018,"291,092",
Aug-2018,"296,025",
Sep-2018,"290,426",
Oct-2018,"286,102",
Nov-2018,"291,111",
Dec-2018,"298,879",
Jan-2019,"275,966",
Feb-2019,"298,710",
Mar-2019,"301,111",
Apr-2019,"292,881",
May-2019,"287,522",
Jun-2019,"290,601",
Jul-2019,"280,515",
Aug-2019,"291,942",
Sep-2019,"291,100",
Oct-2019,"297,647",
Nov-2019,"294,308",
Dec-2019,"315,189",
Jan-2020,"282,444",
Feb-2020,"303,081",
Mar-2020,"259,288",
Apr-2020,"235,695",
May-2020,"298,417",
Jun-2020,"376,646",
Jul-2020,"546,415",
Aug-2020,"484,732",
Sep-2020,"434,127",
Oct-2020,"410,655",
Nov-2020,"397,374",
Dec-2020,"351,569",
Jan-2021,"488,131",
Feb-2021,"432,858",
Mar-2021,"449,486",
Apr-2021,"498,780",
May-2021,"505,120",
Jun-2021,"445,055",
Jul-2021,"443,173",
Aug-2021,"427,899",
Sep-2021,"428,542",
Oct-2021,"428,180",
Nov-2021,"434,368",
Dec-2021,"428,051",
Jan-2022,"436,130",
Feb-2022,"424,993",
Mar-2022,"413,451",
Apr-2022,"433,922",
May-2022,"428,999",
Jun-2022,"405,805",
Jul-2022,"423,821",
Aug-2022,"419,403",
Sep-2022,"423,488",
Oct-2022,"429,760",
Nov-2022,"419,558",
Dec-2022,"423,977",
Jan-2023,"427,394",
Feb-2023,"441,899",
Mar-2023,"454,238",
Apr-2023,"444,315",
May-2023,"446,876",
Jun-2023,"467,484",
Jul-2023,"478,209",
Aug-2023,"466,465",
Sep-2023,"471,672",
Oct-2023,"471,030",
Nov-2023,"460,523",
Dec-2023,"449,039",
Jan-2024,"453,575",
Feb-2024,"441,493",
Mar-2024,"428,141",
Apr-2024,"431,527",
May-2024,"424,250",
Jun-2024,"430,829",
Jul-2024,"423,224",
Aug-2024,"432,604",
Sep-2024,"427,131",
Oct-2024,"426,474",
Nov-2024,"447,184",
Dec-2024,"456,020",
Jan-2025,"393,232",
Feb-2025,"425,244",
Mar-2025,"452,255",
Apr-2025,NA,
May-2025,NA,
Jun-2025,NA,
Jul-2025,NA,
Aug-2025,NA,
Sep-2025,NA,
Oct-2025,NA,
Nov-2025,NA,
Dec-2025,NA,